"","nom_sirops","correlation"
"113","SU SS SUCRE MENTHE VERTE","0.433806395850132"
"43","Galec CLA 75 CL GRENADINE","0.437753161539142"
"125","T CLASSIQUES ORANGE","0.440622629033525"
"88","MDV MDV tradition (recette 70cl) POMME V.VANILLE","0.441555969004327"
"124","T CLASSIQUES MULTIFRUITS","0.443341478988622"
"115","T BIO CITRON","0.443663854607792"
"38","Galec BIO MENTHE VERTE","0.445449347386441"
"87","MDV MDV tradition (recette 70cl) PECHE FRAMBOISE","0.445634739457217"
"73","MDV MDV tradition (Plaisir 70cl ) MIRABELLE","0.445863719052468"
"149","T PLAISIRS 60CL MANGUE","0.447100846892951"
"148","T PLAISIRS 60CL KIWI","0.447763967192501"
"7","Auchan Plaisir 60CL BANANE/FRAISE","0.449340351118619"
"105","SU GOU 75CL PAMPLEM. ROSE","0.450500852491757"
"140","T PLAISIRS 60CL AGRUMES","0.457459090387704"
"126","T CLASSIQUES AROMES NAT CITRON","0.459225348966013"
"156","T PLAISIRS 60CL VIOLETTE","0.461217530028014"
"24","Francap CLA 75 CL CITRON","0.464786746214452"
"127","T CLASSIQUES AROMES NAT GRENADINE","0.474625364568752"
"93","SU BIO 50cl MENTHE VERTE","0.475984634412349"
"50","Galec Max PECHE","0.478236453187204"
"41","Galec Bidon+ fruite GRENADINE","0.484412582970632"
"120","T CLASSIQUES AGRUMES","0.485966876579049"
"117","T BIO GRENADINE","0.495431132054776"
"15","Auchan Plaisir 60CL PAMPLEM. ROSE","0.496695516680991"
"114","SU SS SUCRE PECHE","0.502336000106417"
"132","T CONC DE GOUT TROPICAL","0.504420620697781"
"5","Auchan CLA 75 CL MENTHE VERTE","0.50585182062947"
"77","MDV MDV tradition (Plaisir 70cl ) PECHE BLANCHE","0.511796782571123"
"101","SU GOU 75CL CITRON VERT","0.513357349043522"
"155","T PLAISIRS 60CL TROPICAL","0.518400119456181"
"6","Auchan Plaisir 60CL ANIS","0.52279777791068"
"130","T CONC DE GOUT PINA COLADA","0.524711344415857"
"167","T ZEROS 0% PECHE","0.525229967240882"
"131","T CONC DE GOUT THE PÊCHE","0.527112302229309"
"40","Galec Bidon+ fruite ABRICOT PASSION","0.532398612680446"
"9","Auchan Plaisir 60CL CITRON VERT","0.536467048877612"
"135","T MEGA MENTHE VERTE","0.546136120209633"
"151","T PLAISIRS 60CL MULTIFRUITS","0.551778164605631"
"78","MDV MDV tradition (classique 70cl ) CITRON","0.553174537047817"
"142","T PLAISIRS 60CL CERISE","0.554580232776667"
"13","Auchan Plaisir 60CL MOJITO","0.556698076343421"
"65","MDV MDV sirops de camille Peche blanche","0.560941526416527"
"143","T PLAISIRS 60CL CITRON VERT","0.56539235289517"
"152","T PLAISIRS 60CL PAMPLEM. ROSE","0.567769693051043"
"26","Francap CLA 75 CL MENTHE VERTE","0.571832590158333"
"42","Galec CLA 75 CL CITRON","0.574190957954416"
"49","Galec Max MENTHE VERTE","0.581024244441633"
"165","T ZEROS 0% MOJITO","0.591648404338984"
"104","SU GOU 75CL MOJITO","0.597714143761529"
"69","MDV MDV tradition (Plaisir 70cl ) CITRON VERT","0.599015299285915"
"123","T CLASSIQUES MENTHE VERTE","0.600680154181913"
"160","T ZEROS 0% CITRON","0.604839838986434"
"118","T BIO MENTHE VERTE","0.611524203790365"
"164","T ZEROS 0% MENTHE VERTE","0.628754272938783"
"46","Galec Max CITRON","0.631506407660095"
"44","Galec CLA 75 CL MENTHE VERTE","0.645140038065074"
"79","MDV MDV tradition (classique 70cl ) MENTHE VERTE","0.65181404309145"
"3","Auchan 0% 60CL MENTHE VERTE","0.656279431832674"
"83","MDV MDV tradition (recette 70cl AN++ ) RECETTE PROVENC","0.657550421671509"
"75","MDV MDV tradition (Plaisir 70cl ) ORGEAT","0.686769264150048"
"129","T CONC DE GOUT MOJITO","0.698613705628899"
"66","MDV MDV tradition (Plaisir 70cl ) ANIS","0.71445630531887"
"56","Galec Plaisir MOJITO","0.74391525163373"
"150","T PLAISIRS 60CL MENTHE GLACIALE","0.744009434134621"
"72","MDV MDV tradition (Plaisir 70cl ) MENTHE GLACIALE","0.784812965484921"
