Années\Identifiants,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
9 / 2019,4176,14198,11567,37125,16875,2506,8770,17122,7934,28397,10440,7517,4176,8352,4594,20880,14616,2280,3192,9120,3192,1170,780,10688,28688,11813,4500,9563,13500,7875,2250,11250,5063,0,1253,835,2923,2506,418,0,0,29632,93105,40883,14063,25920,43776,107136,47232,38016,38250,15750,60750,35438,25875,7313,11813,37125,23625,663,390,390,0,0,0,9324,11021,5351,21606,33919,12482,5510,4045,0,30938,2537,26708,8194,34882,12239,175081,68801,34284,6909,13931,5712,5960,7480,3120,3120,7020,7410,6240,1950,3120,19688,57938,21938,6188,20250,5063,19125,15750,2250,10688,1688,29813,10688,10688,7313,11687,19000,19000,10125,5663,4831,15808,0,6088,9000,58176,217071,90792,18410,3375,0,0,0,31709,3416,24221,7628,12006,137952,31842,0,0,46062,0,0,43114,13313,42908,0,47189,37328,19940,10872,5586,7067,0,19627,53975,13478,0,14929,0,0,0,40255,18720,24012,67304,44719,6335,7596,32990,10390
10 / 2019,2088,11275,9187,29813,15750,2923,10022,15869,6682,25474,12528,7099,2246,9187,2923,21715,17539,2736,4104,6840,5928,0,0,8438,16875,11250,3375,8438,10688,4500,2250,5625,1125,1670,1253,2088,4176,1670,1670,0,0,47813,157500,70313,17438,25344,48960,120960,46656,42624,42750,15750,59625,36563,24750,7313,8438,46125,25875,3500,8823,8829,0,0,0,10374,11630,5914,28799,33634,11613,3331,3137,0,32621,2558,28652,9576,25444,17291,81585,38484,19518,8434,14406,7707,5699,5401,3510,4680,6630,8190,3900,1950,4680,32063,93375,41063,12375,28688,7875,33188,21375,3375,11250,5063,38250,13500,14063,11250,9563,14625,14063,15188,3924,5231,12485,0,3154,12375,48069,222588,89847,16106,3371,0,0,0,21949,3859,23699,5627,13653,140544,36927,0,0,54198,0,0,41551,15440,42386,0,49598,31212,19940,8960,7229,2635,0,22133,69739,16942,0,10962,0,0,0,47293,24422,23699,79135,49799,7272,9043,33617,12528
11 / 2019,3758,12110,9187,33188,17438,6005,13374,17179,8600,35176,15862,9922,2416,9961,6188,25430,16099,1824,4104,11400,4560,780,0,9000,28125,11250,4500,7875,12938,7313,2250,8438,2813,2506,835,1253,6264,2923,418,0,0,20813,93375,30375,12938,23616,43776,104256,38592,36864,37688,15750,58500,33188,20813,5063,9000,41625,21938,3500,774,474,0,0,0,6775,11248,4864,20832,24977,11491,2075,2953,0,26687,1457,19396,7178,22285,13880,62593,30333,14910,6863,13633,7270,4183,4435,3510,2730,5850,8580,4680,1950,2730,26438,90000,38250,12375,25313,6750,30375,18000,2813,10125,3938,32625,11813,13500,9000,10125,17438,14625,9000,3802,3776,14468,0,3150,10125,40365,218550,66807,15647,5126,0,0,0,23015,3917,26518,6113,11286,126720,31059,0,0,38007,0,0,46145,13172,39776,0,61483,33786,19627,8626,8312,4104,0,18166,52409,12863,0,10231,0,0,0,36644,18900,20671,74750,42174,7970,7848,35809,10382
12 / 2019,3341,16286,9187,40500,16313,2088,8770,15451,6264,30902,12528,5429,1670,6682,1253,18792,17122,1368,2280,6840,3192,1170,780,6750,27000,11250,3375,7875,11813,2813,2250,8438,1688,3341,2923,3341,6264,3341,2923,0,0,40387,171788,66375,18563,27648,53568,131328,54720,42624,50063,18563,73125,40500,30938,6750,8438,48375,28125,3500,3369,3189,0,0,0,10458,13209,5527,31172,30647,13549,4095,3780,0,35822,2797,30030,10416,25540,21816,68876,35310,15922,10315,19362,7388,7144,8085,3120,3900,5850,7800,6240,780,3900,23625,91688,34875,12375,26438,7313,30938,19125,5063,9000,3938,36000,12375,13500,9000,18563,23063,22500,11250,4939,6487,14512,0,3679,11813,59787,278549,76835,21965,5657,0,0,0,30272,3197,25891,7178,15687,167976,41598,0,0,61596,0,0,54079,17690,39985,0,58673,38959,22759,10728,6912,4831,0,21506,67234,15678,0,10544,0,0,0,50008,26395,25682,84564,55645,5782,7610,37793,12442
1 / 2020,2506,13781,8770,21375,9563,3758,6264,16704,6264,26309,11693,4176,2506,8352,2923,18374,11275,2736,4560,7296,4104,390,0,10688,20813,9000,3938,8438,12375,6188,1125,7313,2250,2923,0,2923,7934,2506,1670,0,0,44550,130837,52312,15750,25920,51264,115200,39744,39168,45563,15750,67500,39938,23625,6188,9000,42750,23625,3591,1947,1086,0,0,0,7295,11075,4964,24394,25763,14578,4280,2890,0,30244,2776,22415,11911,22579,14965,56805,28762,14906,8358,15116,5414,4410,5708,2730,780,5850,11310,6630,3120,3510,37125,84375,54563,7313,32063,6750,42750,27000,3938,13500,1125,38250,18563,17438,7875,20250,18000,15750,8438,3902,4417,15444,0,4082,6975,65871,300222,98127,9990,4014,0,0,0,26996,2495,22133,5641,13347,117504,31968,0,0,39645,0,0,41584,13824,36018,0,54914,34758,18688,9270,5792,3636,0,14407,54706,13410,0,10962,0,0,0,39046,18101,17539,73080,48546,7351,7348,35809,11653
2 / 2020,2506,10858,7517,27000,13500,2506,10440,15034,7099,30067,12528,6264,1670,8352,2506,23803,18374,3648,5928,10944,5928,1170,780,10125,28125,14063,5063,9563,12938,5625,2813,7313,3375,1670,2923,4176,5011,2923,1670,0,0,27000,88313,30375,16313,20736,39168,96192,36288,33408,35438,15750,55125,29813,24750,5625,10688,43313,23625,2451,1698,1275,0,0,0,9286,11487,4906,31273,31615,12104,4183,1000,0,36364,2717,27166,8442,25683,14175,73622,33671,18358,9374,16216,8156,5620,4998,3120,5460,7410,8580,6240,1560,4680,62438,172125,77063,12938,66375,6188,64125,42188,4500,28688,5063,65813,24750,27563,9563,34313,21937,20250,13500,2430,8683,11480,0,4720,13050,79580,341687,94642,17915,2916,0,0,0,28753,2380,22655,5663,15345,111933,30946,0,0,44019,0,418,42149,13817,48964,0,65603,35712,22133,9799,7758,4720,0,19210,63580,15325,0,8456,0,0,0,43541,21526,23386,74885,53857,8799,6919,39092,10366
3 / 2020,5011,15034,11275,31500,15188,4176,12110,20045,9605,31738,15869,9187,3341,10022,5011,25056,19210,3192,5472,9120,6384,780,390,10688,26438,12375,6188,10688,16313,9563,3938,9000,3938,418,3341,2506,7934,3341,835,0,0,42638,164025,60863,22500,40896,74880,160704,74880,59904,57375,24750,83813,51188,31500,8438,12375,61313,34313,3171,2730,1953,0,0,0,9912,14469,6548,43365,50047,21139,5431,46,353,47943,3637,42042,18026,54176,23234,118124,40106,18291,12608,12382,10273,8350,7304,4290,6630,9750,12090,7020,2340,5070,10688,46125,16875,12938,11813,9563,18000,2813,3938,1125,5063,24750,19000,5063,12375,4500,27563,19688,14063,7610,13295,28231,7841,9205,0,117074,379505,167119,6413,1998,20299,23114,1814,39298,4860,38642,12146,16835,166030,56782,0,0,62599,2934,7265,68926,18925,74668,0,114640,58457,30442,14173,9691,5666,0,31864,105979,17467,0,15055,11432,0,0,63437,30425,26244,121109,78263,11767,9796,51938,16619
4 / 2020,4867,19560,15470,50063,25875,7099,5846,24221,10440,48859,27144,11693,5011,15034,8770,34243,28397,2736,456,0,3192,1950,1560,20813,40500,26438,7313,16313,23625,11813,5063,14625,2813,6264,2088,2088,2506,2088,3341,0,0,27113,196538,146138,8438,37440,93312,184320,73152,49536,75375,34875,127688,74813,48375,13500,20813,66938,44438,936,3650,3498,0,0,0,4784,17455,9908,69653,80569,25515,9899,8,2041,82547,3839,56314,27493,91762,30563,166663,74491,37090,20458,14815,11143,9492,10844,6240,5850,17550,22620,17550,2730,8190,43313,182813,113625,22500,29250,10125,93375,19688,10125,14625,14063,85500,22500,12375,6750,23625,56813,32063,11250,15016,6196,23360,745,3996,0,208010,524427,370514,0,0,54706,27977,22728,63148,5753,62528,12265,36364,283766,85536,0,0,107200,2581,1357,116125,23983,103302,0,158681,71518,10760,13820,86,12042,0,63360,161248,18202,0,22342,16113,868,0,83178,35190,43248,179878,121824,21308,3971,72788,16204
5 / 2020,4133,14842,11447,14063,14063,6264,8770,22550,10858,44683,21715,13363,3341,9605,7517,30902,17122,912,0,1368,912,1560,780,10125,47813,28688,3938,14625,33188,8438,0,14063,0,3758,2923,4176,5011,6682,2923,0,0,78750,234000,109125,24188,28224,40320,163584,46080,23040,40388,34313,95400,37575,42750,21938,13500,64688,41063,0,3650,2004,0,0,0,22886,17338,3604,57796,52030,30992,11554,0,3574,75865,5221,44722,22533,58426,23969,104853,43869,33692,2650,35560,0,0,3314,3510,5850,5070,2340,1950,4680,1170,29250,44438,30938,1688,23625,1688,18563,18000,1125,5063,0,20813,563,16313,0,17438,27563,26438,11813,15480,14562,19786,6473,6055,0,125055,315504,207151,0,0,21103,14743,7006,53975,4824,51887,0,57837,164081,68601,0,0,28454,3758,418,54914,30053,69120,0,80892,42703,43747,0,0,11822,0,38524,95472,0,0,21089,19339,932,0,93607,42149,37688,133423,103469,22050,3758,58266,205
6 / 2020,7099,27144,20462,65813,31500,8203,15013,30655,21417,66398,15932,12742,4840,13832,10655,44323,24420,9120,12768,23256,14136,1950,1170,23625,30938,18563,14063,9000,16313,0,11250,11250,5063,7517,8770,7934,12110,10440,8352,0,0,78750,201938,112500,25313,55872,92160,189504,104832,82944,67050,39375,82913,61988,45563,18563,30375,84375,46125,7791,3650,4470,0,0,0,24373,20887,5901,83093,64672,31219,12642,0,2545,93400,5132,61891,28098,99389,30194,136483,70064,53109,28917,20853,5792,8946,11886,8970,12090,18330,27300,24570,7410,14430,69188,118125,67500,28688,52313,27563,47250,39375,16313,37125,19688,55688,35438,32063,37125,37688,46688,59063,25875,14648,14123,45158,23080,8536,0,145242,292516,225598,0,0,26655,64305,22430,115694,6667,78822,0,43633,243947,96972,0,0,92717,0,9814,91081,36947,144701,0,152101,102238,30302,10304,25121,17215,38210,85823,148868,30946,7682,23803,22505,1847,17712,113423,44233,38315,143857,152530,30366,26924,88918,45077
7 / 2020,418,13363,13363,29282,27117,7000,10565,15843,11076,27562,6445,8495,3923,10752,7521,26208,17394,4560,5016,9120,9120,780,780,18000,39938,20813,5063,18000,17438,17438,2250,19688,7875,2088,4594,4176,10857,4594,2506,835,418,67500,207000,105750,23063,40320,61056,162432,89280,51840,41625,34313,68063,34313,37125,18563,19688,46688,36563,4197,3936,2625,0,0,0,19984,16615,14288,55560,37806,24202,16846,0,3793,82876,6888,40709,15049,74366,25709,136772,60131,36288,15874,13280,11890,10223,8425,3510,10530,7410,14820,17160,3510,3120,31500,51750,32063,10688,17438,16875,18000,19688,24188,24188,6188,14625,19688,14625,16313,17438,22500,34313,17438,13788,20200,24916,17269,12748,0,100174,290198,271472,0,0,30009,81193,17934,83520,5670,39881,0,24016,142498,44694,0,0,66858,18983,13572,62118,22990,85394,0,115034,49277,30902,18086,16859,15592,36936,62836,107964,31036,20261,19627,17056,1418,17194,80550,29909,31111,119282,119987,23339,12395,62618,11758
8 / 2020,6264,14616,16286,13500,9000,5654,14006,17899,9967,31715,16544,6470,5846,6184,4212,20719,14939,4560,5016,12312,11400,1170,1560,14625,30938,24188,6750,12375,20250,6750,7313,7313,5625,6264,10858,11275,18374,15034,9605,7099,7934,63113,174263,115425,16313,44928,70272,160128,84096,57600,55688,31500,78188,47813,37688,19688,21375,65250,42188,1500,2868,2802,0,0,0,15460,18992,7241,66709,50371,37468,17980,0,3226,106273,7745,51303,20884,100044,32938,126524,57800,37288,19790,20857,12508,9925,14368,4290,3510,4680,8970,14430,3120,8190,19688,54000,56363,11813,20250,11813,23063,15750,12375,14063,3375,33188,15750,14625,8438,16313,26438,28688,14063,12377,10447,30452,17334,6750,0,110621,358949,322299,0,0,18670,61870,21283,94061,0,45414,0,37791,146390,68819,998,998,59857,11124,9187,73300,26557,97373,0,108673,51386,24012,15545,14152,15804,21247,49198,121396,15937,11196,21715,11591,1590,17615,90724,35262,29650,126324,135929,23976,10238,66697,17424
9 / 2020,7099,16286,17122,21852,11489,5846,10022,15869,7934,25891,10440,6682,5846,7934,3341,23386,17957,2280,4560,6840,4104,780,780,13500,30929,16313,6188,9000,19688,8438,2813,12938,2813,2923,3758,2088,4385,5846,835,5011,5846,74700,197537,95513,27563,43200,78255,191232,93861,65664,70313,32063,103500,52875,45563,14063,14625,69750,38250,561,1536,1530,0,0,0,13167,11949,3952,39950,40387,20320,9492,0,5057,52055,3419,36036,19093,48758,25204,83719,42617,32210,18589,16069,11096,8589,10122,4290,5070,5070,11310,5850,1950,4290,30938,105750,33188,9563,36000,7875,30938,26438,6188,11250,3938,38813,18000,18563,7313,13500,25313,24188,14625,11138,11444,28318,5800,4324,0,72943,289456,184325,0,0,33998,61394,19296,44233,0,25265,0,26044,151133,48087,9360,7114,49928,7924,8770,54914,19260,69217,4072,80352,46235,18270,15851,10512,17694,11984,29754,86418,23530,10836,21611,13234,264,15386,64292,20675,22133,99284,62485,19094,8719,35561,15880
10 / 2020,2504,7517,4176,28125,12938,2956,10763,19089,7345,29674,14454,5800,835,7543,2490,22177,13427,3192,4104,12312,7752,780,390,11813,32625,19125,2813,10688,18000,6188,1125,7313,3375,0,1253,3341,7099,2088,3758,418,1253,8438,72563,27563,10688,16704,31104,95040,29952,27648,23625,9000,35438,24750,14063,3938,6750,29813,18000,700,1251,393,0,0,0,7396,7753,4809,20672,24786,14784,1806,0,2680,21294,1869,19845,6451,23579,13205,85991,29883,12104,7069,9925,6502,5296,1651,3510,3510,7410,5070,3510,0,4290,17438,60750,26438,13500,23625,3938,25313,12938,3375,9000,3938,34313,10688,10688,10125,15188,20250,19688,12375,5184,6728,18490,4252,5288,0,30167,131067,84692,0,0,11203,41062,5407,21136,0,12737,0,7129,96964,28782,2621,1997,32908,7830,2506,37584,12910,26413,418,56171,28742,14825,8824,3283,2758,7754,11693,57002,12197,4280,10681,4972,1048,15422,37040,27670,17748,65772,57420,6116,5396,48337,11257
11 / 2020,2088,12946,5846,27563,8438,1559,4180,11982,4373,21010,8068,4737,2819,5611,940,11148,12047,3648,4560,10032,5928,1170,0,7875,21375,9000,6188,9000,9563,6750,2813,6750,1125,2088,2088,2088,5011,1253,2088,1253,2506,33750,120938,56813,19125,31104,54720,149760,61632,44928,48375,19125,67500,45563,28125,5625,10125,50625,29250,987,888,1068,0,0,0,6703,9988,5691,35175,41895,21802,2297,0,3402,33692,2612,31655,9101,29017,15307,98596,47170,26284,10181,14498,7106,8186,17,2730,3900,7020,9750,6630,4680,5460,28688,55688,37688,7875,25875,9563,30375,20250,7313,9563,3938,31500,16313,14625,7313,16875,22500,22500,11813,4093,6818,13997,5472,4892,0,42531,243559,92850,0,0,6984,40764,3094,31504,0,24534,0,16427,145237,37705,8401,6794,47689,7337,3550,61283,17438,49792,2981,82267,40748,21827,7351,6408,2938,8255,25160,88218,17039,6948,18270,10141,724,14386,48683,29664,20254,94453,66456,9720,5623,46249,10048
12 / 2020,3341,9187,7099,17438,6188,2088,6682,14198,3341,25474,11693,3341,1253,8770,3341,13363,10858,3192,5016,7752,5928,390,1170,10688,23063,11813,4500,9563,13500,6188,3375,9563,4500,2088,2088,1670,7934,3341,2506,1670,2506,42687,154725,66513,19125,27072,56448,148032,61056,44928,47250,19688,65813,39938,30375,9000,10125,46125,33188,2163,1575,1425,0,0,0,9933,13709,4952,29803,34835,20601,3226,0,3599,34037,2323,28682,11663,29459,20859,99102,39619,21748,12524,12184,8757,5825,14347,5070,3120,5460,8190,5460,780,2340,24750,80438,34313,12938,25313,7313,25875,15188,3938,10125,3938,31500,10125,12938,10125,14063,20813,18563,10125,3956,7722,15365,4374,5083,0,50155,250438,103154,0,0,11570,34265,4838,26935,0,22237,0,18798,150908,33774,9828,12511,44421,8935,4802,46426,15224,49068,5263,71842,37861,20956,12560,7232,4370,8770,22550,74894,15977,7016,14198,9504,540,18382,48128,24354,19523,78062,54533,9176,6386,37307,13129
1 / 2021,2923,9187,7099,26438,12375,2506,8352,17539,6264,24638,11275,6264,2088,6682,1670,20045,15034,3648,4104,7752,2736,1170,780,6750,23625,12375,5063,10125,12938,4500,2250,7313,1125,3758,1670,2923,6264,1670,1670,1670,3758,39437,134400,47675,11250,22464,37440,129024,46080,38016,45563,16313,56813,39938,22500,6188,8438,40500,24188,1701,2064,345,0,0,0,8530,11512,5309,29232,36981,23419,3310,0,3923,43239,2570,28959,10042,32273,16283,104013,43655,21294,11403,12781,6905,6749,4129,2340,3510,5460,7410,4290,3120,3900,21375,74250,31500,7313,23063,5625,25875,17438,4500,9000,2250,28688,11813,9563,7875,14063,20813,18563,10688,4651,6188,17172,6671,5299,0,54086,277877,118562,0,0,10526,48355,5587,28710,0,19105,0,10273,132912,34671,5725,4766,30412,6808,4489,45727,13115,49486,1415,68904,38419,17017,8633,3859,4482,9590,21820,75272,12467,5018,16391,11617,720,12776,49694,23634,19940,86234,55541,7855,6433,38524,11408
2 / 2021,2923,10858,7099,30938,12375,4176,7934,14616,5846,24221,9605,6682,1670,9187,3758,18792,14198,2280,3648,5472,5928,780,0,11250,24188,9563,5063,9000,13500,7875,1125,7313,2250,1253,3341,2923,6264,4176,2506,2088,2923,31500,102375,47250,18000,24768,53568,124416,51264,37440,41625,17438,61313,39938,25875,7313,9000,43313,26438,591,1587,663,0,0,0,8358,11264,6430,32382,38170,19736,2835,0,2323,36830,2554,30685,11378,34579,18656,97170,41359,20635,11193,10231,6997,4994,5468,3510,4680,5460,8190,5850,1950,3900,32063,73688,38813,11250,30375,9000,28125,23625,6750,9563,3375,38813,19688,14063,11813,19125,26438,25313,14063,5479,5785,16787,4147,3589,0,61085,256032,124834,0,0,10886,40234,10649,29642,0,23386,0,16910,147592,25927,4181,5655,44561,7542,2297,44474,14868,49172,2765,80701,38920,18896,7841,5760,2675,7960,23281,79448,18641,5800,14407,7546,482,20254,57733,27590,18688,87592,67442,4648,6714,43744,12982
3 / 2021,3758,9605,7934,13372,6881,4594,9605,18792,6682,27562,12110,6682,2088,7099,3758,23386,12528,4560,7296,12312,9576,1560,780,11250,35438,14625,6188,10125,15750,8438,4500,11250,4500,3758,4176,2923,9605,5429,5011,2923,3341,39375,158062,68062,21938,32256,49536,145152,65088,45504,59625,24188,79875,39938,33188,9563,12938,58500,33188,1233,2136,1650,0,0,0,11210,14503,7707,49682,46528,26767,8068,0,4599,55528,4028,43298,14990,55327,22865,126921,56422,31907,14137,17804,10790,8686,8110,2730,2340,5070,12090,8580,2340,4290,45000,120375,75938,14625,43875,9000,50063,29250,3938,13500,0,57938,18000,16875,12938,20813,32063,32063,15750,7902,12164,25391,8251,4997,0,87077,339091,183154,0,0,21584,59717,44776,40651,0,31320,0,27425,151258,43571,13923,14836,56979,10577,6160,61909,19476,72767,4885,101524,52078,26831,10940,6365,12186,16736,34765,97790,20052,7650,17644,21812,21002,19076,70679,34178,23594,106488,75272,8762,11560,49277,18191
4 / 2021,6682,15451,11275,41371,13554,7099,12528,20045,8770,33826,15869,10022,5429,10022,7934,24638,18792,4104,8208,12312,7296,1560,780,21938,47813,24188,9000,16875,27563,11813,4500,18563,5625,2923,2923,5429,3758,4594,3758,2506,2923,41063,112500,57938,19688,35712,57024,149760,66816,50112,49500,24750,72563,41063,31500,11813,12375,52313,36000,2181,2835,1116,0,0,0,14973,23768,8950,65002,57381,36884,9891,0,5645,66961,5061,51185,17253,68872,27119,137922,62150,40314,17895,18588,10080,8303,8620,2730,8580,10920,12090,8580,1560,4680,57938,147375,70313,20250,41625,9000,56813,24750,0,17438,0,42188,18563,15188,13500,28125,33188,42750,14625,7646,10256,29844,12456,8010,0,110359,366570,217715,0,0,18657,74987,25611,64523,0,37480,0,29016,173605,55286,17137,19063,62018,8528,8874,76108,21805,89533,7002,112867,65642,20671,10843,10631,15160,17546,46183,114369,15556,12334,27176,22540,12715,25200,81879,44076,32852,125735,88772,11101,6026,69597,18270
5 / 2021,835,13781,10440,22500,6750,5000,8914,17096,5789,27821,11671,5760,3233,7060,2894,20236,13460,3648,2736,5928,4560,1560,1170,7875,22500,14063,3938,9000,14063,6188,3375,7875,2813,497,1000,4000,4406,4594,3758,2506,5429,43313,123188,50063,16875,29376,45504,122112,60480,43200,51750,19125,68625,37688,28688,11813,14063,48375,33188,675,720,807,0,0,0,13406,17006,8665,36768,41012,21542,8627,0,4473,53821,3179,45713,10459,36103,21760,85887,36823,30863,12753,13799,8051,6720,7273,3900,2340,5850,4290,1950,1170,4680,20813,57375,26438,11250,20000,12938,10125,18563,0,17438,0,25375,16875,15750,14063,23063,29250,4875,18000,4928,11552,26951,8025,6066,0,93068,259269,157392,0,0,16822,58668,21545,53259,0,32990,0,16171,142876,44200,7156,16126,54267,6794,5044,61595,20966,70472,3822,84057,48964,21901,13036,3737,13063,3401,47367,83725,16501,8706,20686,15716,4209,23454,64336,37448,28697,92887,70423,6277,4248,47745,17100
6 / 2021,4862,17874,18819,19688,20813,5846,8990,14404,8680,29086,11412,5272,3194,4963,6228,19290,9017,2736,4104,9576,5928,1560,0,14625,32045,19688,7313,10125,16313,7875,3938,11250,5063,497,1000,500,1000,4594,3758,2506,6264,66375,170438,104063,23625,41472,64512,176832,80064,59904,49500,29813,78188,46125,30375,17438,19688,59063,36000,2211,1599,1341,0,0,0,20698,30437,8665,61612,55444,41207,17052,0,4519,78839,5057,61425,20971,73448,27527,123756,53448,45158,18795,17686,15401,11113,10550,5850,9750,9360,14994,14607,6240,7410,46688,102688,68625,19688,24746,15750,34688,17717,0,23625,0,42125,21938,19688,16875,24188,32250,32063,21375,5681,9349,29363,16829,6106,0,122574,362508,255840,0,0,22641,76943,27602,78047,0,57002,0,32704,159300,68947,15971,24239,56724,12930,8438,77977,28757,103526,5574,92281,57463,27650,12060,12110,20324,25302,47970,107326,22476,10604,30516,32999,27615,25006,119350,46207,35696,129302,133796,12702,8330,76503,25826
7 / 2021,4347,15545,15600,19688,33750,3668,6850,20128,10354,27294,11487,6936,2213,4566,4277,23540,17511,3648,5472,10488,9576,936,2106,14625,33750,26438,3938,13500,19688,8438,3938,14625,3938,497,3000,500,6013,3604,3153,3758,5011,57375,156375,82125,18000,34560,60480,135936,75456,54144,53888,23569,80044,40556,28800,17156,18056,64913,40331,894,2064,963,0,0,0,20210,15065,7169,43039,32029,19978,11575,0,3763,52804,6111,52844,18959,70885,22672,114989,33630,34112,14540,14671,9232,9618,7938,4290,5850,8190,8216,5493,3120,7410,28790,56500,26438,11813,22500,12938,24375,8008,0,18563,0,28688,15750,16313,10688,18000,19500,30375,14063,5278,11102,33448,12067,4918,0,97020,319630,252310,0,0,20693,64598,24365,66434,0,40090,0,19009,143055,38153,12597,16973,40970,5857,7308,50548,20754,74481,9184,104206,40806,22133,16456,7495,17442,13363,38915,122829,16564,9626,21298,10930,14728,26683,73080,35140,23386,116964,115294,7722,7434,58936,19091
8 / 2021,1640,5208,3993,14625,6188,3816,7423,8716,5191,13810,5360,3694,2264,5778,2052,12802,7463,3192,4560,7296,3192,780,780,10125,27000,12375,5063,8438,11813,5625,3938,5063,4500,0,400,639,5679,155,188,2506,5429,45113,147049,68833,14063,24768,43200,109440,53568,41472,29925,14681,38081,19631,15075,8156,7819,27338,18169,1611,1500,678,0,0,0,14301,17539,8761,47754,43235,25683,15040,0,5498,70358,4826,46032,14398,48530,26405,95889,41231,32878,15406,14381,11479,9093,8488,4680,2340,3510,8190,6630,3120,6240,15085,34875,16875,9000,17438,10688,9000,12375,0,14063,0,16354,12938,14063,10125,15750,12938,18563,15188,3092,7949,28148,13345,5296,0,89006,274731,162350,0,0,23558,72382,26626,57995,0,35705,0,19609,119142,37541,10647,22214,40860,10080,5116,57420,22748,61055,5508,76924,47214,21402,12956,7420,12294,21154,32364,79049,13831,7862,24430,8633,9137,21326,66607,31835,21298,95108,76630,8348,5846,49068,16708
9 / 2021,2870,9487,7574,30203,12547,2088,7934,10858,3758,14616,8352,5846,1670,3341,1670,12528,8352,1824,4104,9120,4104,1170,390,9000,26438,13500,4500,9000,15750,5625,1688,9563,2250,1253,1253,2506,2088,2923,1670,4176,4594,44325,142076,68979,14625,28224,44928,127296,58176,41472,30938,9563,42188,19125,15188,6188,5625,30938,15750,813,450,1050,0,0,0,11109,14477,6329,28501,29988,22344,5200,0,3956,41189,3062,36712,10681,29855,21512,80024,31840,23789,10567,12230,9899,7342,7304,2340,2730,4680,6240,4680,780,1950,16875,65250,33750,9000,21375,8438,11813,15750,0,8438,0,22646,10125,12375,10125,15188,20250,21938,12938,1901,5458,16538,5332,3366,0,74473,232990,135208,0,0,17366,49507,21938,37678,0,23699,0,16591,121672,19523,10374,15881,32580,7481,4802,46145,16373,57211,6044,59612,33692,14616,8953,6178,10580,9155,22342,63475,13910,5868,22446,22450,4511,22885,53348,33091,18479,78718,66712,4036,3812,54079,14501
10 / 2021,1670,8352,7099,22240,9629,4176,8352,19627,5429,28814,9605,5429,2506,7099,2088,20880,14198,2736,3648,7296,5472,1170,780,12375,32063,13500,5063,12938,15188,7313,2250,11250,2250,1670,835,835,4594,2506,835,2088,6264,22500,96750,30375,14063,27648,50688,137664,54144,41472,42188,15750,65813,32063,20813,6750,9563,45563,29250,1035,450,798,0,0,0,7627,16502,3070,27476,31643,19333,2297,0,3641,29833,2197,32504,6325,27157,20156,87969,31849,19855,10405,10235,8224,5935,5624,3120,2730,4680,6615,3510,1950,5070,22500,62438,27563,11813,23625,6188,21375,15750,0,8438,0,25313,11813,11813,9000,14625,19688,18000,11813,4504,5566,16369,5220,2743,0,59310,218470,86919,0,0,12944,43123,6975,28602,0,25578,0,20264,132288,33431,11271,12917,34702,6948,3341,46771,15458,43639,6170,57107,30737,15034,9900,3863,6170,12164,16078,65668,13360,9036,18374,18501,7430,20095,46876,26546,16078,77778,52304,4180,4036,43430,16067
11 / 2021,4370,16020,7477,20250,4500,4965,8705,19270,9663,30585,18529,7960,2696,13004,4756,25821,16506,1824,2736,7296,3192,390,0,6750,18563,10125,3938,7313,10688,4500,563,4500,2250,0,835,2088,4176,1670,1253,1670,2088,39375,156938,65813,20250,28800,57600,144576,63936,46080,53438,19688,73125,44438,25313,7875,8438,56250,30938,486,627,93,0,0,0,7379,15561,7178,25939,40925,22197,4154,0,4561,33417,3318,35662,10357,26943,24977,97873,36158,24170,12628,11718,8791,7690,6170,3120,2340,5850,10140,5460,1170,3510,24750,78750,32063,11250,25875,7313,25875,16313,0,9000,0,29250,12375,11250,9000,15750,22500,18563,10688,3388,7207,13446,4306,4522,0,61690,275249,126310,0,0,12263,50693,7612,30575,0,26726,0,19164,141223,36457,10905,23153,46205,7621,4489,46739,19004,49068,6970,79135,42642,19523,10512,5638,7733,10559,17435,79970,14418,6372,17435,16955,6628,22642,53435,32016,15631,93857,63202,3409,7005,45173,16067
