Années\Identifiants,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
11 / 2018,2923,11693,8352,31500,15750,1253,6682,10440,4176,19210,7517,5846,0,5429,2088,15034,9605,2280,3192,5928,5928,0,0,6750,24188,10688,5625,7875,12375,3938,1125,6750,2250,3900,4290,0,10140,0,0,0,0,33188,122625,47813,14063,23040,49536,111744,42624,35712,38813,14625,59063,37688,27563,3938,7313,41063,34875,0,0,0,3694,2614,3913,9127,10563,7552,22579,20983,14549,2524,3112,0,22415,7052,17023,5926,19517,14650,91644,41185,14524,5153,13196,7665,4658,5536,3120,1950,6240,9360,3900,1950,2730,27563,97313,38813,14063,27563,6188,36000,19688,2813,10688,5063,37688,14625,15750,10125,16875,23625,20813,9000,0,0,0,0,0,15300,60372,374661,153522,17078,2583,0,0,0,25002,3474,29088,6329,8100,120528,30438,0,0,39582,0,0,61178,12935,35287,0,88227,33624,20462,9569,4388,2646,0,20671,68288,18623,0,12424,0,0,0,40961,18306,23386,61596,38628,4244,10159,36709,12164
12 / 2018,2088,10858,9187,38813,16313,2923,9605,13363,4176,26309,10022,7517,0,7517,2088,17957,12528,2736,4104,9120,5928,0,0,7875,18000,11250,3938,5625,9563,5063,2813,7313,2813,4680,4290,0,9360,0,0,0,0,30150,87750,36788,14063,16704,42048,110016,39168,38592,36000,14625,59063,32625,29250,5625,8438,45563,24188,0,0,0,3780,2851,4072,8635,12058,9286,27754,26775,19207,2864,4280,0,33982,5536,18341,8782,24679,16838,101707,59334,18484,6216,13738,5746,8320,5208,1950,3120,6240,7410,4290,390,3120,27563,88875,35438,12938,23625,10125,28125,18000,8438,8438,4500,33188,10125,12938,7875,15188,17438,13500,9563,0,0,0,0,0,15413,98163,302085,119403,20102,4928,0,0,0,28660,2884,27403,5810,10647,141984,26568,0,0,49086,0,0,60030,12398,43952,0,84460,31982,19940,8824,5436,2545,0,17957,73080,15948,0,12632,0,0,0,39020,19872,23699,66445,41447,9130,7830,36932,10332
1 / 2019,3758,12110,7934,30375,12938,2923,10440,17539,8352,24638,13363,11693,0,10022,3341,25474,14616,2736,5016,6840,2280,0,0,7875,19688,3362,5625,9563,14063,3938,1125,5063,1125,5850,3900,0,12480,0,0,0,0,57600,173250,65588,16313,28800,56448,115776,43776,39168,47813,18563,75938,42188,27000,9000,8438,42750,24188,0,0,0,5738,2837,4190,6107,10567,9202,28064,26317,17766,2453,4158,0,34033,6434,19606,9290,26065,18064,99111,49514,19236,4208,16233,6754,6695,5372,3120,5070,5850,9360,6240,1950,3510,15188,63000,23625,7875,22500,1688,24750,17438,2250,8438,3375,25313,10125,9563,8438,16875,17438,16313,14063,0,0,0,0,0,13950,100503,471735,187803,17195,7160,0,0,0,37238,4266,29707,10620,7227,132480,28512,0,0,45459,0,0,59508,17759,44370,0,108054,37750,24116,13331,7574,2866,0,25369,73053,24160,0,15347,0,0,0,40900,16384,24534,71827,45310,8885,6815,34052,12650
2 / 2019,2923,15869,11275,38813,16875,5429,11693,19627,11275,47189,13363,9187,0,9187,3341,27562,13781,1824,2736,10032,4560,0,0,6188,23625,13500,3375,4500,10688,5063,1688,8438,1688,4680,2730,0,9750,0,0,0,0,30938,100688,47813,15188,24192,42624,110592,39744,33408,36563,14063,56250,37688,23625,4500,9000,34875,23063,0,0,0,4487,3167,3411,7547,9034,5632,29530,24255,19450,2596,2827,0,34238,7820,19593,9206,30500,13066,128213,58443,20290,7514,12776,5972,7535,5888,1170,2730,5460,7800,2340,1560,2730,25313,58500,34313,9000,25313,6750,29250,15188,3375,10688,2813,37688,10688,12938,9000,9000,21938,19688,4500,0,0,0,0,0,16425,101595,411626,168426,19004,2120,0,0,0,26644,3712,32368,4918,8757,131040,27216,0,0,44298,0,0,54706,11632,46145,0,84355,29246,18792,6696,6376,3550,0,23594,73498,17906,0,13885,0,0,0,50044,15221,26726,73497,46980,6671,8820,33008,11909
3 / 2019,4176,11275,10858,35438,15750,3640,12204,14170,7826,28721,11959,12226,2923,10951,4007,21229,18043,4104,4560,6840,4104,0,0,14625,23063,14063,6188,10688,14625,8438,4500,8438,3938,7410,6708,0,14040,0,0,0,0,37125,122063,48375,18000,27648,44352,101376,43776,38016,48938,17438,64688,33750,27563,9558,11250,46125,25313,858,0,0,3596,2452,3470,12680,13104,9177,36536,35167,18562,5489,3431,0,43934,6875,27254,11861,45478,21336,121817,59763,23142,7308,17132,8106,8299,6258,4680,3120,12090,10140,3120,2730,4290,43313,114188,63563,17438,37688,3375,48375,28688,4500,16313,9563,46125,16875,18563,13500,23063,31500,28688,10125,5429,5846,13572,0,5846,19350,140891,447179,216875,23058,7218,0,0,0,45972,3658,37969,10404,8226,135072,39510,0,0,54909,0,0,67234,18821,56898,0,117032,47365,25578,13842,7038,3863,0,36122,78826,22770,0,16600,0,0,0,54680,27138,36923,85502,59135,6019,13871,45443,14857
4 / 2019,4176,11693,11693,31617,16956,4176,10022,15034,9187,30902,12528,8770,3341,7934,4176,24638,13925,2280,5928,9120,5016,0,0,9000,21938,10125,5063,9563,11813,5625,3375,9000,3375,5070,3510,0,10920,0,0,0,0,45000,150188,64688,19688,31680,61632,152640,57600,50688,51862,21600,85387,46012,30037,7313,14287,57262,36112,4368,0,0,3168,1098,3348,12751,14188,9475,50022,44969,28575,9811,5405,0,51007,11340,35158,14343,48413,27850,92425,50902,25498,10559,17472,8333,7379,6359,4680,6630,9750,14040,12480,2730,4680,57375,145312,66375,18563,42750,4500,56813,26438,3375,18563,7875,48938,19688,19125,13500,30375,38813,39375,15188,11171,15124,14094,0,12269,17325,139585,395095,255954,29300,5463,0,0,0,55850,5155,38563,9634,40482,199467,60615,0,0,72522,0,0,77573,23332,78822,0,126680,49925,35600,12406,9965,6772,0,47815,93796,20441,0,30485,0,0,0,62370,22864,40698,100735,73678,12420,12805,46418,16596
5 / 2019,4176,15034,12946,37688,13500,6682,13363,20880,10858,27979,15869,12946,2923,10858,6682,30485,16286,4104,4104,10488,6840,0,0,12375,27563,14063,3938,9000,16875,7313,2625,10688,4500,5736,5346,4594,5346,4176,4176,0,0,28688,106875,46125,16875,32832,56448,124416,52416,46080,46575,23400,67612,42300,32962,13500,18337,55800,29137,2424,0,0,227,32,0,15196,18724,9274,49052,45822,22961,8938,3461,0,50631,11764,42134,15884,52865,16619,64903,33458,26397,13251,19786,13528,9059,8081,3120,10140,9750,10530,8190,2340,8190,35438,41625,42188,13500,33750,14063,23625,27563,8438,24188,9000,37688,16875,16875,14438,17625,27563,29250,14063,11804,9612,21330,0,8359,19863,78507,229163,131373,27378,7882,0,0,0,66094,6784,39141,10948,38749,117515,54302,0,0,73764,0,0,66840,21257,62290,0,73853,50769,40507,16137,11495,9528,0,44138,68238,18272,0,15720,0,0,0,65254,34448,30874,101177,58979,15357,10242,48575,16441
6 / 2019,4176,15869,16704,31786,18116,5324,14043,18094,14447,32843,14569,14224,4594,13176,5692,27224,16985,4560,5928,9120,5472,3120,3120,12938,31500,16875,9000,10125,16313,6750,1688,9563,3375,2923,3758,4176,6682,4594,3494,0,0,62438,173813,100125,18563,32832,51264,119232,55296,44352,27563,11250,51188,26438,16875,11813,6750,28125,14063,2910,0,0,11,428,0,15191,13969,9584,59947,42819,19282,10676,5179,0,71127,6544,44932,20261,55016,20693,62467,34932,26527,14053,20152,8047,7535,8749,3510,3510,5070,8580,8970,3510,3900,51188,73688,52313,18000,25313,8437,32625,22500,8437,23625,8438,41625,19125,17438,8438,16875,28125,34313,16313,8888,11390,18279,0,9500,21717,105840,248926,155583,28503,5699,0,0,0,68009,7382,33144,9864,17159,115351,40621,0,0,46836,0,0,60186,24589,80683,0,69269,52615,29059,14315,13784,9462,0,46790,87074,21637,0,14030,0,0,0,75511,32105,32048,101014,86559,16006,21110,60297,18478
7 / 2019,6682,27562,23803,70076,42670,8852,17474,26176,23268,61415,15229,13728,8562,13615,10112,45468,20884,5928,6384,13680,10944,1950,1170,22500,48375,30938,8438,16313,27000,11813,4500,16875,6188,8078,8914,8078,9749,9749,7243,0,0,94500,216000,151313,30938,59904,81792,173376,101376,72576,57375,37125,102938,52875,43313,24750,22500,82125,39938,1749,0,0,0,0,0,28636,21403,10760,91850,41538,17338,27649,4297,0,103291,10357,43121,31458,88985,20630,108683,49942,39988,18220,28862,13587,13020,13238,3510,9750,11700,18330,19500,3120,5850,60750,113625,94500,20250,42750,21375,45563,34313,15188,33750,7875,51750,29813,28688,24750,32063,43313,61313,23063,13021,14598,28181,0,11992,29250,229320,514215,393309,34763,7178,0,0,0,127419,9238,62327,13878,35503,211129,79324,0,0,78098,0,0,84982,31720,132349,0,123239,69642,51260,20027,15174,20135,0,76793,128317,27216,0,21298,0,0,0,110768,35860,36331,124391,161752,32846,18439,76838,23785
8 / 2019,4176,14616,16704,33188,23063,7989,13320,16476,15234,31339,18226,10683,3480,8381,7298,27806,14479,3192,5472,9576,5472,390,780,9563,18563,15750,5063,6750,9563,5063,2813,5063,2250,2088,1253,835,5846,3341,2506,0,0,61875,191250,108563,18563,36288,62208,134784,70848,53568,53438,32063,86063,45563,36563,18563,15750,64125,39375,2040,0,0,0,0,0,15788,11138,6019,39316,25355,20147,12356,3545,0,60287,6182,34927,15838,50417,22483,65676,50967,34369,14780,16682,10895,7232,8182,3900,2730,5460,10530,10920,4290,6240,19125,23625,18563,5063,11250,10125,7313,9563,9000,6750,2250,15188,10125,11250,6188,11250,12938,14625,9000,6188,6635,18651,0,4244,14625,101979,314271,205317,17564,6921,0,0,0,64447,5015,38628,12593,17642,116921,68739,0,0,58234,0,0,49068,20905,56023,0,54369,39740,20045,14184,9726,16067,0,30276,55179,14558,0,20045,0,0,0,50738,20927,24847,81119,72976,18276,9601,42282,12326
